band,limit_range,count,type
J0378,14.0,521458,dual
J0395,14.0,520677,dual
J0410,14.0,521450,dual
J0430,14.0,521464,dual
J0515,14.0,522038,dual
J0660,14.0,523048,dual
J0861,14.0,522726,dual
i,14.0,523408,dual
r,14.0,523748,dual
u,14.0,521603,dual
z,14.0,523032,dual
g,14.0,523046,dual
J0378,15.0,909693,dual
J0395,15.0,908642,dual
J0410,15.0,909748,dual
J0430,15.0,910177,dual
J0515,15.0,911406,dual
J0660,15.0,912348,dual
J0861,15.0,911606,dual
i,15.0,913019,dual
r,15.0,913668,dual
u,15.0,909799,dual
z,15.0,912035,dual
g,15.0,912288,dual
J0378,16.0,1542201,dual
J0395,16.0,1539584,dual
J0410,16.0,1543588,dual
J0430,16.0,1544045,dual
J0515,16.0,1547775,dual
J0660,16.0,1549638,dual
J0861,16.0,1547447,dual
i,16.0,1549978,dual
r,16.0,1552431,dual
u,16.0,1543777,dual
z,16.0,1546941,dual
g,16.0,1548687,dual
J0378,17.0,2550705,dual
J0395,17.0,2527464,dual
J0410,17.0,2564914,dual
J0430,17.0,2571143,dual
J0515,17.0,2583489,dual
J0660,17.0,2590154,dual
J0861,17.0,2587355,dual
i,17.0,2591652,dual
r,17.0,2605848,dual
u,17.0,2559171,dual
z,17.0,2574281,dual
g,17.0,2588926,dual
J0378,18.0,4055893,dual
J0395,18.0,3954800,dual
J0410,18.0,4164986,dual
J0430,18.0,4214544,dual
J0515,18.0,4319163,dual
J0660,18.0,4342379,dual
J0861,18.0,4334112,dual
i,18.0,4346643,dual
r,18.0,4437105,dual
u,18.0,4104218,dual
z,18.0,4272677,dual
g,18.0,4338135,dual
J0378,19.0,6145435,dual
J0395,19.0,5870626,dual
J0410,19.0,6395740,dual
J0430,19.0,6580272,dual
J0515,19.0,7218937,dual
J0660,19.0,7369024,dual
J0861,19.0,7342312,dual
i,19.0,7374889,dual
r,19.0,7637869,dual
u,19.0,6283093,dual
z,19.0,7251447,dual
g,19.0,7327084,dual
J0378,20.0,9212740,dual
J0395,20.0,8705684,dual
J0410,20.0,9351291,dual
J0430,20.0,9665693,dual
J0515,20.0,11474786,dual
J0660,20.0,12640925,dual
J0861,20.0,12471299,dual
i,20.0,12659974,dual
r,20.0,13013646,dual
u,20.0,9487575,dual
z,20.0,12485386,dual
g,20.0,12241860,dual
J0378,21.0,13641382,dual
J0395,21.0,12932058,dual
J0410,21.0,13500426,dual
J0430,21.0,13824822,dual
J0515,21.0,16346739,dual
J0660,21.0,20601111,dual
J0861,21.0,19724031,dual
i,21.0,20782939,dual
r,21.0,21189850,dual
u,21.0,14106021,dual
z,21.0,20180087,dual
g,21.0,18609955,dual
J0378,22.0,16415232,dual
J0395,22.0,15727720,dual
J0410,22.0,16107527,dual
J0430,22.0,16356080,dual
J0515,22.0,18396843,dual
J0660,22.0,24839441,dual
J0861,22.0,23181880,dual
i,22.0,26028772,dual
r,22.0,27454384,dual
u,22.0,16952096,dual
z,22.0,24796995,dual
g,22.0,22053047,dual
J0378,23.0,9452069,dual
J0395,23.0,9151477,dual
J0410,23.0,9275883,dual
J0430,23.0,9357902,dual
J0515,23.0,10100135,dual
J0660,23.0,13352764,dual
J0861,23.0,12618432,dual
i,23.0,15012492,dual
r,23.0,16579042,dual
u,23.0,9691511,dual
z,23.0,14385855,dual
g,23.0,13036168,dual
J0378,24.0,3005158,dual
J0395,24.0,2931097,dual
J0410,24.0,2952176,dual
J0430,24.0,2963471,dual
J0515,24.0,3118777,dual
J0660,24.0,3928072,dual
J0861,24.0,3807449,dual
i,24.0,4676342,dual
r,24.0,5420378,dual
u,24.0,3062991,dual
z,24.0,4542476,dual
g,24.0,4152290,dual
